epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,8404.36,0.85999,0.63204,1.15069,0.9317,0.89489,0.98295,0.86221,0.57899,0.6673,0.98504,0.003169,0.003169,0.003169
71,8699.82,0.85931,0.59841,1.13928,0.9622,0.97391,0.995,0.88133,0.55832,0.42807,0.96642,0.00307,0.00307,0.00307
72,8939.52,0.87913,0.6111,1.18212,0.93718,0.94098,0.995,0.86547,0.59738,0.49383,0.99134,0.002971,0.002971,0.002971
73,9214.26,0.84286,0.60129,1.13171,0.9475,0.97008,0.995,0.87332,0.60928,0.45549,1.00086,0.002872,0.002872,0.002872
74,38026.9,0.82433,0.59414,1.12605,0.96638,0.98116,0.995,0.88185,0.54739,0.42374,0.97048,0.002773,0.002773,0.002773
75,41071.3,0.82753,0.58805,1.13527,0.97542,0.98414,0.995,0.88648,0.54397,0.40985,0.96604,0.002674,0.002674,0.002674
76,41371.3,0.83127,0.60506,1.13268,0.98019,0.95707,0.995,0.88275,0.56191,0.44474,0.97778,0.002575,0.002575,0.002575
77,41606,0.80844,0.57718,1.12206,0.97586,0.9635,0.995,0.88059,0.57348,0.43083,0.98268,0.002476,0.002476,0.002476
78,41893.5,0.82107,0.60346,1.13202,0.97186,0.97619,0.995,0.89428,0.55772,0.4062,0.97925,0.002377,0.002377,0.002377
79,42208.4,0.81176,0.55503,1.12286,0.9667,0.9799,0.995,0.87845,0.57822,0.39108,0.98747,0.002278,0.002278,0.002278
80,43058.6,0.82207,0.59358,1.12862,0.97657,0.97729,0.995,0.86548,0.59322,0.39982,0.9948,0.002179,0.002179,0.002179
81,43878,0.81182,0.57237,1.12924,0.96848,0.98766,0.995,0.88799,0.53378,0.36791,0.95601,0.00208,0.00208,0.00208
82,44182.9,0.83151,0.56789,1.1369,0.97073,0.96929,0.995,0.85877,0.6138,0.40746,1.01424,0.001981,0.001981,0.001981
83,44440.2,0.80119,0.55908,1.12362,0.97099,0.98371,0.995,0.87645,0.54053,0.37729,0.96562,0.001882,0.001882,0.001882
84,44746.7,0.78503,0.56084,1.11746,0.96729,0.97924,0.995,0.87108,0.60057,0.39742,1.00615,0.001783,0.001783,0.001783
85,45046.5,0.78327,0.56436,1.11246,0.97072,0.97496,0.995,0.85512,0.6584,0.42476,1.04115,0.001684,0.001684,0.001684
86,45354.8,0.79875,0.54492,1.12601,0.97563,0.96425,0.995,0.87712,0.57152,0.403,0.98461,0.001585,0.001585,0.001585
87,46094.7,0.77395,0.55461,1.10029,0.97593,0.97262,0.995,0.86834,0.60866,0.41542,1.01117,0.001486,0.001486,0.001486
88,46524.1,0.78502,0.54145,1.11813,0.97938,0.96942,0.995,0.87909,0.54315,0.39558,0.96794,0.001387,0.001387,0.001387
89,46846.9,0.77595,0.53632,1.11415,0.97823,0.97083,0.995,0.88197,0.53399,0.39079,0.96279,0.001288,0.001288,0.001288
90,47146.5,0.7571,0.53201,1.09656,0.97651,0.96683,0.995,0.85251,0.66847,0.43052,1.04039,0.001189,0.001189,0.001189
91,47438.9,0.64229,0.38935,1.08101,0.97699,0.97295,0.995,0.90199,0.50961,0.36454,0.95182,0.00109,0.00109,0.00109
92,47679.7,0.62832,0.37232,1.08657,0.97535,0.97407,0.995,0.87958,0.55843,0.37881,0.97883,0.000991,0.000991,0.000991
93,47974.1,0.62093,0.37535,1.07654,0.97868,0.9809,0.995,0.89827,0.52295,0.36553,0.95818,0.000892,0.000892,0.000892
94,48239.6,0.61402,0.3676,1.06938,0.98124,0.97402,0.995,0.90339,0.49917,0.36127,0.94468,0.000793,0.000793,0.000793
95,48514.4,0.61887,0.36787,1.07004,0.97828,0.97812,0.995,0.88917,0.52182,0.36974,0.95516,0.000694,0.000694,0.000694
96,48783.3,0.6097,0.35948,1.06725,0.98139,0.98314,0.995,0.9031,0.49036,0.33385,0.93993,0.000595,0.000595,0.000595
97,49139.7,0.61122,0.36021,1.07097,0.98201,0.97838,0.995,0.90968,0.47672,0.33356,0.92739,0.000496,0.000496,0.000496
98,49546.2,0.57294,0.35417,1.05031,0.97902,0.98339,0.995,0.91192,0.47706,0.33723,0.92878,0.000397,0.000397,0.000397
99,49910.8,0.59095,0.34652,1.04491,0.97893,0.98714,0.995,0.90754,0.48525,0.33489,0.93547,0.000298,0.000298,0.000298
100,50415.8,0.56492,0.34673,1.03278,0.9795,0.98881,0.995,0.90677,0.4842,0.33321,0.93281,0.000199,0.000199,0.000199
